,Product_ID,Product_Name,Category,Material_Type,Recyclable,Price_USD,Rating,Supplier,Country_of_Origin,Carbon_Footprint_kgCO2
0,EFP001,Natural Glass Spatula,Kitchen,Glass,Yes,32.49,4.59,NaturePro,Brazil,0.592
1,EFP002,Sustainable Glass Face Cloth,Beauty,Glass,Yes,6.9,5.0,EcoLine,China,1.205
2,EFP003,Reusable Organic Cotton Scarf,Fashion,Organic Cotton,Yes,17.01,3.92,RenewGoods,India,0.698
3,EFP004,Biodegradable Glass Cutlery Set,Kitchen,Glass,Yes,23.92,4.53,PurePlanet,China,0.863
4,EFP005,Eco Cork Notebook,Office,Cork,Yes,24.2,3.66,LeafWorks,Indonesia,0.546
5,EFP006,Zero-Waste Glass Spatula,Kitchen,Glass,Yes,17.2,3.35,RenewGoods,China,0.881
6,EFP007,Reusable Organic Cotton Soap Dish,Beauty,Organic Cotton,Yes,32.43,3.84,EcoLine,Vietnam,1.295
7,EFP008,Handmade Recycled Metal Cutlery Set,Kitchen,Recycled Metal,Yes,14.41,4.02,PurePlanet,USA,1.031
8,EFP009,Natural Hemp Socks,Fashion,Hemp,Yes,34.97,4.33,PurePlanet,Vietnam,0.797
9,EFP010,Biodegradable Glass Lunch Box,Kitchen,Glass,Yes,71.91,3.02,Sustainify,China,1.659
10,EFP011,Natural Recycled Plastic Mop Head,Cleaning,Recycled Plastic,Yes,17.9,4.13,EcoLine,India,0.614
11,EFP012,Natural Bamboo Makeup Remover,Beauty,Bamboo,Yes,36.86,4.02,LeafWorks,China,0.206
12,EFP013,Natural Recycled Plastic Camping Mug,Outdoors,Recycled Plastic,Yes,18.16,3.79,PurePlanet,Brazil,0.475
13,EFP014,Reusable Recycled Plastic Utensil Set,Outdoors,Recycled Plastic,No,65.03,4.57,NaturePro,USA,0.771
14,EFP015,Reusable Bamboo Toothbrush,Cleaning,Bamboo,Yes,10.84,4.4,RenewGoods,Germany,0.173
15,EFP016,Natural Recycled Plastic Sunscreen Stick,Outdoors,Recycled Plastic,No,27.86,4.79,EcoLine,Vietnam,0.972
16,EFP017,Handmade Bamboo Plant Pot,Home,Bamboo,Yes,109.01,4.42,GreenEarth,India,0.321
17,EFP018,Biodegradable Bamboo Mop Head,Cleaning,Bamboo,Yes,20.89,3.81,NaturePro,USA,0.25
18,EFP019,Sustainable Bamboo Brush,Beauty,Bamboo,Yes,3.61,4.25,NaturePro,India,0.211
19,EFP020,Sustainable Bamboo Coaster,Home,Bamboo,Yes,102.77,4.02,EcoLine,China,0.258
20,EFP021,Eco Organic Cotton Cotton Pad,Beauty,Organic Cotton,Yes,13.82,3.71,GreenEarth,China,1.795
21,EFP022,Handmade Recycled Plastic Lunch Box,Kitchen,Recycled Plastic,Yes,41.03,3.9,EarthCraft,Portugal,0.837
22,EFP023,Zero-Waste Bamboo Rug,Home,Bamboo,No,112.16,3.78,Sustainify,Brazil,0.184
23,EFP024,Sustainable Recycled Plastic Mouse Pad,Office,Recycled Plastic,Yes,34.47,4.0,Sustainify,India,0.421
24,EFP025,Reusable Organic Cotton Rug,Home,Organic Cotton,Yes,63.49,3.99,EcoLine,India,1.474
25,EFP026,Sustainable Hemp Coaster,Home,Hemp,Yes,83.32,3.72,EarthCraft,China,0.935
26,EFP027,Zero-Waste Bamboo Rug,Home,Bamboo,Yes,108.63,3.05,EarthCraft,Turkey,0.163
27,EFP028,Zero-Waste Bamboo Mop Head,Cleaning,Bamboo,Yes,17.64,4.18,RenewGoods,USA,0.135
28,EFP029,Zero-Waste Recycled Metal Storage Jar,Kitchen,Recycled Metal,Yes,66.6,4.18,GreenEarth,India,1.943
29,EFP030,Zero-Waste Bamboo Camping Mug,Outdoors,Bamboo,Yes,69.74,3.5,EarthCraft,India,0.212
30,EFP031,Eco Cork Binder,Office,Cork,Yes,18.68,4.55,EcoLine,Mexico,0.364
31,EFP032,Zero-Waste Cork Candle Holder,Home,Cork,Yes,42.22,5.0,Sustainify,Indonesia,0.306
32,EFP033,Eco Hemp Hat,Fashion,Hemp,No,56.52,3.27,PurePlanet,Portugal,0.86
33,EFP034,Biodegradable Recycled Metal Picnic Mat,Outdoors,Recycled Metal,No,82.03,4.24,EarthCraft,China,1.786
34,EFP035,Biodegradable Organic Cotton Scarf,Fashion,Organic Cotton,Yes,37.67,4.69,LeafWorks,China,1.502
35,EFP036,Sustainable Recycled Plastic Toothbrush,Cleaning,Recycled Plastic,Yes,13.11,3.46,NaturePro,China,0.561
36,EFP037,Eco Bamboo Straw,Kitchen,Bamboo,No,58.32,3.46,Sustainify,USA,0.358
37,EFP038,Biodegradable Bamboo Cleaning Cloth,Cleaning,Bamboo,Yes,25.54,3.41,LeafWorks,Portugal,0.234
38,EFP039,Natural Organic Cotton Cotton Pad,Beauty,Organic Cotton,Yes,14.25,4.38,PurePlanet,USA,0.534
39,EFP040,Zero-Waste Cork Coaster,Home,Cork,Yes,79.65,3.77,GreenEarth,China,0.507
40,EFP041,Natural Organic Cotton Cotton Pad,Beauty,Organic Cotton,No,38.38,4.9,Sustainify,India,1.49
41,EFP042,Natural Bamboo Vase,Home,Bamboo,Yes,85.64,3.71,EcoLine,Vietnam,0.15
42,EFP043,Natural Recycled Plastic Cutlery Set,Kitchen,Recycled Plastic,Yes,15.87,4.15,GreenEarth,Brazil,1.088
43,EFP044,Reusable Bamboo Soap Dish,Beauty,Bamboo,Yes,37.32,4.4,Sustainify,Vietnam,0.27
44,EFP045,Natural Hemp Picnic Mat,Outdoors,Hemp,No,28.41,3.56,EcoLine,China,1.485
45,EFP046,Eco Recycled Plastic Notebook,Office,Recycled Plastic,Yes,32.49,4.49,NaturePro,Germany,0.504
46,EFP047,Biodegradable Organic Cotton Sunscreen Stick,Outdoors,Organic Cotton,Yes,62.34,3.69,EcoLine,China,1.382
47,EFP048,Sustainable Cork Camping Mug,Outdoors,Cork,Yes,22.21,3.29,LeafWorks,Germany,0.767
48,EFP049,Natural Bamboo Storage Jar,Kitchen,Bamboo,Yes,31.75,4.23,EcoLine,Portugal,0.375
49,EFP050,Eco Organic Cotton Vase,Home,Organic Cotton,Yes,117.9,3.51,RenewGoods,Mexico,0.904
50,EFP051,Handmade Recycled Metal Candle Holder,Home,Recycled Metal,Yes,145.37,4.51,RenewGoods,China,2.055
51,EFP052,Handmade Recycled Metal Picnic Mat,Outdoors,Recycled Metal,Yes,95.32,5.0,Sustainify,India,1.911
52,EFP053,Handmade Recycled Metal Straw,Kitchen,Recycled Metal,Yes,28.73,3.91,EarthCraft,India,1.498
53,EFP054,Natural Hemp Plant Pot,Home,Hemp,No,48.72,4.25,Sustainify,India,0.405
54,EFP055,Natural Glass Plant Pot,Home,Glass,Yes,107.51,4.24,PurePlanet,India,1.105
55,EFP056,Eco Recycled Plastic Notebook,Office,Recycled Plastic,Yes,20.63,3.55,PurePlanet,China,0.456
56,EFP057,Eco Cork Notebook,Office,Cork,Yes,25.92,2.98,LeafWorks,Brazil,0.578
